English,Russian
part,часть
history,история
search,поиск
police,полиция
thought,подумал
help,помощь
request,запрос
kind,добрый
month,месяц
brother,брат
let,позволять
because,так как
to put,класть
no,нет
leash,поводка
them,их
city,город
each,каждый
speak,говорить
come,приходить
should,должен
baby,малыш
long time,много времени
hours,часы
will,воля
while,пока
any,любой
square,площадь
speak,говорить
understood,понял
knew,знал
were,мы
could,мог
case,случай
give,давать
type,тип
their,их
given,данный
train,тренироваться
body,тело
place,место
eyes,глаза
way,способ
listen,слушать
whose,чья
find,найти
first,первый
lost,потерянный
hand,рука
first,первый
side,сторона
power,власть
old,старый
be,быть
here,здесь
morning,утро
so much,так много
child,ребенок
point,точка
came,пришел
after,после
sorry,извини
come,приходить
in front of,перед
towards,к
minutes,минуты
request,запрос
bedroom,спальная комната
placed,размещенный
beautiful,красивый
law,закон
would like to,хотел бы
today,сегодня
husband,муж
cause,причина
hope,надеяться
water,вода
left,левый
new,новый
job,работа
would say,сказал бы
Earth,Земля
account,счет
given,данный
far,далеко
end,конец
believe,полагать
sweetheart,дорогой
large,большой
rather,скорее
will have,будет
girls,девушки
to play,играть
office,офис
